# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3912.010  1.8909e+01  1.1547e+00           0           0
  3912.911  1.8585e+01  1.1798e+00           0           0
  3913.812  1.7028e+01  1.1983e+00           0           0
  3914.713  1.8934e+01  1.2227e+00           0           0
  3915.615  1.9141e+01  1.2036e+00           0           0
  3916.517  2.0165e+01  1.1850e+00           0           0
  3917.419  1.9428e+01  1.1430e+00           0           0
  3918.321  1.8720e+01  1.1115e+00           0           0
  3919.223  1.9951e+01  1.1140e+00           0           0
  3920.126  2.1179e+01  1.1067e+00           0           0
  3921.028  1.8351e+01  1.0566e+00           0           0
  3921.931  1.8455e+01  1.0355e+00           0           0
  3922.834  1.9497e+01  1.0513e+00           0           0
  3923.738  1.9616e+01  1.0610e+00           0           0
  3924.641  1.8861e+01  1.0599e+00           0           0
  3925.545  1.8627e+01  1.0607e+00           0           0
  3926.449  2.0044e+01  1.0814e+00           0           0
  3927.353  1.9964e+01  1.0569e+00           0           0
  3928.258  1.8833e+01  1.0310e+00           0           0
  3929.162  1.8401e+01  9.9130e-01           0           0
  3930.067  1.9162e+01  1.0031e+00           0           0
  3930.972  1.9726e+01  1.0046e+00           0           0
  3931.877  1.8405e+01  9.8614e-01           0           0
  3932.783  1.7083e+01  9.7716e-01           0           0
  3933.689  1.6595e+01  9.8444e-01           0           0
  3934.594  1.7530e+01  9.9330e-01           0           0
  3935.501  1.8954e+01  1.0080e+00           0           0
  3936.407  1.9464e+01  1.0057e+00           0           0
  3937.313  2.0027e+01  1.0128e+00           0           0
  3938.220  1.9498e+01  1.0165e+00           0           0
  3939.127  1.9041e+01  1.0219e+00           0           0
  3940.034  1.8744e+01  9.9843e-01           0           0
  3940.941  1.7904e+01  9.9974e-01           0           0
  3941.849  1.7511e+01  1.0024e+00           0           0
  3942.757  2.0666e+01  1.0353e+00           0           0
  3943.665  1.8059e+01  1.0287e+00           0           0
  3944.573  1.6584e+01  9.9512e-01           0           0
  3945.481  1.8564e+01  1.0447e+00           0           0
  3946.390  2.0139e+01  1.0445e+00           0           0
  3947.299  1.8413e+01  1.0258e+00           0           0
  3948.208  1.8927e+01  1.0318e+00           0           0
  3949.117  1.8758e+01  1.0386e+00           0           0
  3950.026  1.8893e+01  1.0896e+00           0    33554432
  3950.936  1.8920e+01  1.0799e+00           0    33554432
  3951.846  1.9359e+01  1.0822e+00           0           0
  3952.756  2.0266e+01  1.0319e+00           0           0
  3953.666  1.7879e+01  9.9683e-01           0           0
  3954.576  1.9206e+01  1.0148e+00           0           0
  3955.487  2.0018e+01  1.0378e+00           0           0
  3956.398  1.8377e+01  1.0196e+00           0           0
  3957.309  1.7510e+01  9.9922e-01           0           0
  3958.220  2.0269e+01  1.0182e+00           0           0
  3959.132  2.0792e+01  1.0029e+00           0           0
  3960.044  1.7938e+01  9.6949e-01           0           0
  3960.956  1.8102e+01  9.7741e-01           0           0
  3961.868  1.8167e+01  9.7136e-01           0           0
  3962.780  1.7820e+01  9.8019e-01           0           0
  3963.693  1.9987e+01  9.8512e-01           0           0
  3964.605  1.8732e+01  9.6068e-01           0           0
  3965.518  1.7780e+01  9.5117e-01           0           0
  3966.432  2.0224e+01  9.8006e-01           0           0
  3967.345  1.9656e+01  9.7255e-01           0           0
  3968.259  1.6433e+01  9.2439e-01           0           0
  3969.173  1.7101e+01  9.1606e-01           0           0
  3970.087  1.7429e+01  9.2180e-01           0           0
  3971.001  1.8760e+01  9.3414e-01           0           0
  3971.915  1.9832e+01  9.6250e-01           0           0
  3972.830  1.9491e+01  9.6054e-01           0           0
  3973.745  1.8899e+01  9.6886e-01           0           0
  3974.660  1.9790e+01  9.9377e-01           0           0
  3975.575  2.0127e+01  1.0873e+00           0    33554432
  3976.491  1.8652e+01  1.0689e+00           0    33554432
  3977.406  1.7568e+01  9.8862e-01           0           0
  3978.322  1.8585e+01  1.0010e+00           0           0
  3979.239  1.9882e+01  1.0145e+00           0           0
  3980.155  1.9025e+01  9.9550e-01           0           0
